pres,hght,temp,dwpt,relh,mixr,vapor_density,u,cr_nc_rot,cr_nc_cont,cr_nc_vib,cr_nc_all
455.0,6635,260.95,245.14999999999998,25,0.84,0.0005096403089650867,2.508606962691244,-2.390047548232819,-0.7089612615436043,-0.1352180010178561,-3.2342268107942918
441.0,6872,258.95,243.95,27,0.78,0.0004622673043297436,2.5201240679087875,-3.8587486359345693,-0.8633364608873244,-0.21275997188574908,-4.934845068707645
411.0,7407,254.45,241.24999999999997,30,0.64,0.0003598215723150548,2.5421149453590357,-6.03354472119688,-0.8675348628729266,-0.32402979562445977,-7.225109379694235
407.0,7481,253.84999999999997,240.84999999999997,31,0.63,0.00035159153122467477,2.544747173842133,-7.127231302692605,-0.8991815982881097,-0.3608175142395,-8.387230415220209
400.0,7610,252.64999999999998,237.64999999999998,25,0.47,0.0002590784660871373,2.548685995324794,-6.803644164193811,-0.7087184492795994,-0.3451135976788007,-7.857476211152212
390.0,7796,251.14999999999998,234.24999999999997,20,0.34,0.0001838619486742033,2.552805341182075,-5.990049427088162,-0.5324240750315695,-0.33653378807549533,-6.859007290195239
379.0,8006,249.45,230.45,16,0.23,0.00012171332640326804,2.5560138815703883,-5.393798400354223,-0.37559033829678123,-0.33368859502192916,-6.103077333672886
375.0,8083,250.24999999999997,224.24999999999997,7,0.12,6.264307138235654e-05,2.5567236537018627,-3.883697624238475,-0.2011580472650281,-0.2214005696053294,-4.306256241108823
361.0,8361,249.24999999999997,215.24999999999997,3,0.04,2.0184613958958545e-05,2.557874958528107,-1.3725898149452647,-0.06459024021189091,-0.07145353808518394,-1.5086335932423542
350.0,8583,247.34999999999997,214.64999999999998,3,0.04,1.9719950798032322e-05,2.5583178991969096,-1.1187758587421377,-0.05557402843113368,-0.04860904831417749,-1.222958935487448
321.0,9204,242.04999999999998,213.04999999999998,4,0.04,1.848216160976135e-05,2.5595040747871716,-1.3128103001046916,-0.04487885445595526,-0.03373600635008735,-1.3914251609107327
303.0,9610,239.45,211.34999999999997,4,0.03,1.3226521567134934e-05,2.5601477610556627,-1.1530942708895808,-0.03063020139457358,-0.02313178778066928,-1.2068562600648385
300.0,9680,239.04999999999998,211.04999999999998,4,0.03,1.3117497285296326e-05,2.560239965121646,-0.8788117781356748,-0.027828821592040993,-0.0187847993537731,-0.9254253990814791
287.0,9989,236.84999999999997,208.84999999999997,4,0.02,8.443845794683216e-06,2.560573087872232,-0.6576546774629233,-0.01732411956425685,-0.012102863905562262,-0.6870816609327547
281.0,10136,237.24999999999997,208.24999999999997,3,0.02,8.253398741511574e-06,2.560695812619573,-0.8101710400014961,-0.014140041283411786,-0.010256185611208982,-0.8345672668961149
256.0,10777,232.34999999999997,212.04999999999998,9,0.04,1.5354918435293803e-05,2.5614524591850896,-1.6928779400951133,-0.01853965586260131,-0.01388860640556846,-1.7253062023633081
250.0,10940,231.04999999999998,213.04999999999998,12,0.05,1.884905961542528e-05,2.561731221606203,-2.488875341893962,-0.01585027490719354,-0.017752111074050572,-2.5224777278751906
239.0,11242,228.45,211.45,13,0.04,1.4579989707585767e-05,2.5622360002509805,-2.449548559904051,-0.007290543836448861,-0.015051062989057163,-2.471890166729571
235.0,11353,227.64999999999998,210.64999999999998,13,0.04,1.4386428974999085e-05,2.562396763874669,-2.843404255018302,-0.004064596306295219,-0.015819443158038834,-2.8632882944826226
229.0,11523,226.45,209.45,13,0.03,1.057013087841537e-05,2.562608894633423,-2.698237210864593,0.002621267691663438,-0.011178794593117816,-2.706794737766051
215.0,11937,223.45,206.45,12,0.02,6.704871834683096e-06,2.562966487189584,-2.506998612627791,0.007759870711913555,-0.006153701561878476,-2.5053924434777635
202.0,12346,220.45,203.45,11,0.02,6.385256871488727e-06,2.5632341803216256,-3.1984275449451283,0.010493784051166763,-0.0061236501903751146,-3.194057411084243
200.0,12410,220.84999999999997,201.84999999999997,8,0.01,3.1553088433284316e-06,2.5632647101319126,-1.7729107009165301,0.005084800927069332,-0.003410914882276174,-1.7712368148717712
197.0,12508,220.64999999999998,200.64999999999998,7,0.01,3.1108056772427297e-06,2.563295414093063,-1.6431815821761548,0.011987329208192354,-0.0009129489129023698,-1.6321072018808653
165.0,13626,210.24999999999997,201.24999999999997,29,0.01,2.7343634843048172e-06,2.563622159049194,-1.5863906068999287,0.0203089858257072,0.0011423875563063037,-1.564939233517932
163.0,13701,209.95,200.34999999999997,26,0.01,2.7050863896299547e-06,2.563642556986221,-1.7950797514578292,0.021850669991765485,0.0010038347627032353,-1.772225246703352
150.0,14210,208.24999999999997,194.24999999999997,13,0.01,2.5096932465400823e-06,2.5637752731279613,-2.015764108278006,0.023430665691966307,0.000855770615270544,-1.991477671970779
146.0,14374,207.95,193.34999999999997,12,0.0,0.0,2.563795852612583,,,,
138.0,14716,207.45,191.64999999999998,9,0.0,0.0,2.563795852612583,,,,
132.0,14986,206.95,190.14999999999998,8,0.0,0.0,2.563795852612583,,,,
